Date,Open,High,Low,Close,Volume,Adj Close
"Jul 23, 2026",321.73,323.30,319.35,321.66,"40,812,200",321.66
"Jul 22, 2026",327.87,329.00,323.34,325.89,"38,755,900",325.89
"Jul 21, 2026",323.13,329.60,322.22,327.74,"41,338,900",327.74
"Jul 20, 2026",333.51,333.71,323.68,326.59,"53,468,000",326.59
"Jul 17, 2026",331.98,334.99,329.00,333.74,"63,407,100",333.74
"Jul 16, 2026",328.01,334.68,326.79,333.26,"62,970,600",333.26
"Jul 15, 2026",317.62,328.73,317.32,327.50,"60,957,600",327.50
"Jul 14, 2026",313.76,316.19,311.91,314.86,"36,336,800",314.86
"Jul 13, 2026",317.02,323.45,315.78,317.31,"43,257,800",317.31
"Jul 10, 2026",314.72,316.91,312.17,315.32,"34,132,300",315.32
"Jul 9, 2026",310.51,316.53,308.16,316.22,"48,124,500",316.22
"Jul 8, 2026",311.91,314.82,307.05,313.39,"41,323,500",313.39
"Jul 7, 2026",315.29,315.48,310.15,310.66,"42,490,000",310.66
"Jul 6, 2026",307.36,314.20,307.00,312.66,"53,590,000",312.66
"Jul 2, 2026",294.12,309.42,293.68,308.63,"75,352,800",308.63
"Jul 1, 2026",293.44,296.59,289.20,294.38,"50,164,200",294.38
"Jun 30, 2026",281.17,289.94,280.70,289.36,"65,100,200",289.36
"Jun 29, 2026",286.73,288.37,279.85,281.74,"66,427,000",281.74
"Jun 26, 2026",275.00,285.95,274.21,283.78,"261,775,500",283.78
"Jun 25, 2026",287.40,288.80,273.75,275.15,"107,013,700",275.15
"Jun 24, 2026",295.36,299.70,292.94,293.08,"53,081,900",293.08
"Jun 23, 2026",297.54,301.64,294.18,294.30,"52,010,900",294.30
"Jun 22, 2026",297.31,302.42,296.76,297.01,"44,879,900",297.01
"Jun 18, 2026",298.11,300.57,295.62,298.01,"85,962,200",298.01
"Jun 17, 2026",300.85,302.07,294.36,295.95,"42,745,100",295.95
"Jun 16, 2026",295.25,300.48,293.97,299.24,"39,874,400",299.24
"Jun 15, 2026",294.12,297.78,291.70,296.42,"45,732,600",296.42
"Jun 12, 2026",296.03,297.14,289.62,291.13,"38,742,100",291.13
"Jun 11, 2026",293.72,297.00,289.59,295.63,"42,572,500",295.63
"Jun 10, 2026",290.74,294.75,287.38,291.58,"52,793,300",291.58
"Jun 9, 2026",300.28,300.75,287.78,290.55,"70,108,800",290.55
"Jun 8, 2026",308.74,317.40,301.17,301.54,"77,949,100",301.54
"Jun 5, 2026",312.86,315.17,307.15,307.34,"65,310,500",307.34
"Jun 4, 2026",313.23,313.54,309.65,311.23,"44,869,100",311.23
"Jun 3, 2026",314.18,316.94,308.85,310.26,"50,836,700",310.26
"Jun 2, 2026",307.46,315.45,306.69,315.20,"44,534,700",315.20
"Jun 1, 2026",309.63,310.94,305.02,306.31,"48,849,900",306.31
"May 29, 2026",311.78,315.00,309.53,312.06,"70,026,800",312.06
"May 28, 2026",310.68,312.80,309.57,312.51,"48,220,400",312.51
"May 27, 2026",308.33,313.26,308.30,310.85,"50,430,900",310.85
"May 26, 2026",309.56,311.82,307.67,308.33,"48,000,500",308.33
"May 22, 2026",306.12,311.40,305.84,308.82,"43,670,200",308.82
"May 21, 2026",301.06,305.54,300.40,304.99,"42,965,100",304.99
"May 20, 2026",298.18,302.80,298.08,302.25,"38,229,800",302.25
